"Южносуданский фунт","South Sudanese Pound",728,SSP,
"Турецкая лира","Turkish Lira",949,TRY,
"Новый туркменский манат","Turkmenistan New Manat",934,TMT,
"Сомони","Somoni",972,TJS,
"Суринамский доллар","Surinam Dollar",968,SRD,
"Суданский фунт","Sudanese Pound",938,SDG,
"Сербский динар","Serbian Dinar",941,RSD,
"Румынский лей","Romanian Leu",946,RON,
"Мозамбикский метикал","Mozambique Metical",943,MZN,
"Малагасийский вриари","Malagasy Ariary",969,MGA,
"Кипрский фунт","Cyprus Pound",196,CYP,
"Доллар Зимбабве","Zimbabwe Dollar",932,ZWD,
"Замбийская квача","Zambian Kwacha",967,ZMK,
"Конголезский франк","Congolese Franc",976,CDF,
"Ганский седи","Ghana Cedi",936,GHS,
"Венесуэльский боливар","Bolívar",937,VEF,
"Конвертируемая марка","Convertible Mark",977,BAM,
"Болгарский лев","Bulgarian Lev",975,BGN,
"Франк КФА BCEAO","CFA Franc BCEAO",952,XOF,
"Белорусский рубль","Belarusian Ruble",933,BYR,
"Афгани","Afghan Afghani",971,AFN,
"Ангольская кванза","Angolan Kwanza",973,"AOA",Kz
"Азербайджанский манат","Azerbaijan Manat",944,AZN,₼
"Российский рубль","Russian Ruble",801,RUB,₽
"Австралийский доллар","Australian Dollar",36,AUD,
Лек,Lek,8,ALL,
"Алжирский динар","Algerian Dinar",12,DZD,
"Доллар США","US Dollar",840,USD,$
"Восточно – карибский доллар","East Caribbean Dollar",951,XCD,
"Аргентинское песо","Argentine Peso",32,ARS,
"Армянский драм","Armenian Dram",51,AMD,
"Арубанский гульден","Aruban Florin",533,AWG,
"Багамский доллар","Bahamian Dollar",44,BSD,
Така,Taka,50,BDT,
"Барбадосский доллар","Barbados Dollar",52,BBD,
"Бахрейнский динар","Bahraini Dinar",48,BHD,
"Белизский доллар","Belize Dollar",84,BZD,
"Бермудский доллар","Bermudian Dollar",60,BMD,
Боливиано,Boliviano,68,BOB,
Пула,Pula,72,BWP,
"Бразильский реал","Brazilian Real",986,BRL,
"Брунейский доллар","Brunei Dollar",96,BND,
"Норвежская крона","Norwegian Krone",578,NOK,
"Бурундийский франк","Burundi Franc",108,BIF,
Нгултрум,Ngultrum,64,BTN,
"Индийская рупия","Indian Rupee",356,INR,₹
Вату,Vatu,548,VUV,
Форинт,Forint,348,HUF,
Рупия,Rupiah,360,IDR,
Донг,Dong,704,VND,
"Франк КФА ВЕАС","CFA Franc BEAC",950,XAF,
Гурд,Gourde,332,HTG,
"Гайанский доллар","Guyana Dollar",328,GYD,
Даласи,Dalasi,270,GMD,
Кетсаль,Quetzal,320,GTQ,
"Гвинейский франк","Guinean Franc",324,GNF,
"Гибралтарский фунт","Gibraltar Pound",292,GIP,
Лемпира,Lempira,340,HNL,
"Гонконгский доллар","Hong Kong Dollar",344,HKD,
"Датская крона","Danish Krone",208,DKK,
Лари,Lari,981,GEL,
"Датская крона","Danish Krone",208,DKK,
"Франк Джибути","Djibouti Franc",262,DJF,
"Доминиканское песо","Dominican Peso",214,DOP,
"Египетский фунт","Egyptian Pound",818,EGP,
"Марокканский дирхам","Moroccan Dirham",504,MAD,
"Индийская рупия","Indian Rupee",356,INR,
Шекель,"New Israeli Sheqel",376,ILS,
"Иорданский динар","Jordanian Dinar",400,JOD,
"Иракский динар","Iraqi Dinar",368,IQD,
"Иранский риал","Iranian Rial",364,IRR,
"Исландская крона","Iceland Krona",352,ISK,
"Йеменский риал","Yemeni Rial",886,YER,
"Эскудо Кабо-Верде","Cabo Verde Escudo",132,CVE,
Тенге,Tenge,398,KZT,
"Доллар Каймановых островов","Cayman Islands Dollar",136,KYD,
Риель,Riel,116,KHR,
"Канадский доллар","Canadian Dollar",124,CAD,
"Катарский риал","Qatari Rial",634,QAR,
"Кенийский шиллинг","Kenyan Shilling",404,KES,
Сом,Som,417,KGS,
"Китайский юань","Yuan Renminbi",156,CNY,
"Колумбийское песо","Colombian Peso",170,COP,
"Франк Коморских островов","Comorian Franc ",174,KMF,
"Северо – корейская вона","North Korean Won",408,KPW,
Вона,Won,410,KRW,₩
"Костариканский колон","Costa Rican Colon",188,CRC,
"Кубинское песо","Cuban Peso",192,CUP,
"Кувейтский динар","Kuwaiti Dinar",414,KWD,
Кип,"Lao Kip",418,LAK,
Лоти,Loti,426,LSL,
Рэнд,Rand,710,ZAR,
"Либерийский доллар","Liberian Dollar",430,LRD,
"Ливанский фунт","Lebanese Pound",422,LBP,
"Ливийский динар","Libyan Dinar",434,LYD,
"Швейцарский франк","Swiss Franc",756,CHF,
"Маврикийская рупия","Mauritius Rupee",480,MUR,
Угия,Ouguiya,478,MRO,
Патака,Pataca,446,MOP,
Денар,Denar,807,MKD,
"Квача (малавийская)","Malawi Kwacha",454,MWK,
"Малайзийский ринггит","Malaysian Ringgit",458,MYR,
Руфия,Rufiyaa,462,MVR,
"Марокканский дирхам","Moroccan Dirham",504,MAD,
"СДР (специальные права заимствования)","SDR (Special Drawing Right)",960,XDR,
"Мексиканское песо","Mexican Peso",484,MXN,
"Молдавский лей","Moldovan Leu",498,MDL,
Тугрик,Tugrik,496,MNT,
Кьят,Kyat,104,MMK,
"Доллар Намибии","Namibia Dollar",516,NAD,
"Непальская рупия","Nepalese Rupee",524,NPR,
Найра,Naira,566,NGN,
"Нидерландский антильский гульден","Netherlands Antillean Guilder",532,ANG,
"Золотая кордоба","Cordoba Oro",558,NIO,
"Новозеландский доллар","New Zealand Dollar",554,NZD,
"Дирхам (ОАЭ)","UAE Dirham",784,AED,
"Оманский риал","Rial Omani",512,OMR,
"Фунт острова Святой Елены","Saint Helena Pound",654,SHP,
"Пакистанская рупия","Pakistan Rupee",586,PKR,
Бальбоа,Balboa,590,PAB,
Кина,Kina,598,PGK,
Гуарани,Guarani,600,PYG,
"Новый соль",Sol,604,PEN,
Злотый,Zloty,985,PLN,
"Франк Руанды","Rwanda Franc",646,RWF,
"Сальвадорский колон","El Salvador Colon",222,SVC,
Тала,Tala,882,WST,
Добра,Dobra,678,STD,
"Саудовский риял","Saudi Riyal",682,SAR,
Лилангени,Lilangeni,748,SZL,
"Сейшельская рупия","Seychelles Rupee",690,SCR,
"Сингапурский доллар","Singapore Dollar",702,SGD,
"Сирийский фунт","Syrian Pound",760,SYP,
"Фунт стерлингов","Pound Sterling",826,GBP,£
"Доллар Соломоновых островов","Solomon Islands Dollar",90,SBD,
"Сомалийский шиллинг","Somali Shilling",706,SOS,
Евро,Euro,978,EUR,€
Леоне,Leone,694,SLL,
Бат,Baht,764,THB,
"Новый Тайваньский доллар","New Taiwan Dollar",901,TWD,
"Танзанийский шиллинг","Tanzanian Shilling",834,TZS,
Паанга,Pa’anga,776,TOP,
"Доллар Тринидада и Тобаго","Trinidad and Tobago Dollar",780,TTD,
"Тунисский динар","Tunisian Dinar",788,TND,
"Угандийский шиллинг","Uganda Shilling",800,UGX,
"Узбекский сум","Uzbekistan Sum",860,UZS,
Гривна,Hryvnia,980,UAH,
"Уругвайское песо","Peso Uruguayo",858,UYU,
"Доллар Фиджи","Fiji Dollar",242,FJD,
"Филиппинское песо","Philippine Peso",608,PHP,
"Фунт Фолклендских островов","Falkland Islands Pound",238,FKP,
"Франк КФП","CFP Franc",953,XPF,
Куна,Kuna,191,HRK,
"Франк КФА ВЕАС","CFA Franc BEAC",950,XAF,
"Чешская крона","Czech Koruna",203,CZK,
"Чилийское песо","Chilean Peso",152,CLP,
"Шведская крона","Swedish Krona",752,SEK,
"Швейцарский франк","Swiss Franc",756,CHF,
"Шри–Ланкийская рупия","Sri Lanka Rupee",144,LKR,
"Эфиопский быр","Ethiopian Birr",230,ETB,
"Ямайский доллар","Jamaican Dollar",388,JMD,
Иена,Yen,392,JPY,¥
